Sample1	Sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
PD70dduC3	PD70dduC1	0.231311256	Duodenum	PD70dduC3	PD70dduC1	0.460222972	Duodenum	PD70dduC3	PD70dduC1	0.831768501	Duodenum
PD70dduC4	PD70dduC1	0.220723878	Duodenum	PD70dduC4	PD70dduC1	0.517910929	Duodenum	PD70dduC4	PD70dduC1	0.886084399	Duodenum
PD70dduC5	PD70dduC1	0.224801037	Duodenum	PD70dduC5	PD70dduC1	0.209952996	Duodenum	PD70dduC5	PD70dduC1	0.791189835	Duodenum
PD70dduC6	PD70dduC1	0.220349643	Duodenum	PD70dduC6	PD70dduC1	0.628300321	Duodenum	PD70dduC6	PD70dduC1	0.904487415	Duodenum
SDQDuC1	PD70dduC1	0.949886005	Duodenum	SDQDuC1	PD70dduC1	0.789121313	Duodenum	SDQDuC1	PD70dduC1	0.827907552	Duodenum
SDQDuC2	PD70dduC1	0.851313962	Duodenum	SDQDuC2	PD70dduC1	0.776992351	Duodenum	SDQDuC2	PD70dduC1	0.824296303	Duodenum
SDQDuC3	PD70dduC1	0.935632964	Duodenum	SDQDuC3	PD70dduC1	0.79590142	Duodenum	SDQDuC3	PD70dduC1	0.828347253	Duodenum
SDQDuC4	PD70dduC1	0.692891302	Duodenum	SDQDuC4	PD70dduC1	0.709910008	Duodenum	SDQDuC4	PD70dduC1	0.787094242	Duodenum
SDQDuC5	PD70dduC1	0.587829856	Duodenum	SDQDuC5	PD70dduC1	0.65438264	Duodenum	SDQDuC5	PD70dduC1	0.742927412	Duodenum
SDQDuC7	PD70dduC1	0.946922383	Duodenum	SDQDuC7	PD70dduC1	0.781528311	Duodenum	SDQDuC7	PD70dduC1	0.830356395	Duodenum
WHYDuC1	PD70dduC1	0.573977146	Duodenum	WHYDuC1	PD70dduC1	0.648308998	Duodenum	WHYDuC1	PD70dduC1	0.702050389	Duodenum
WHYDuC2	PD70dduC1	0.760803037	Duodenum	WHYDuC2	PD70dduC1	0.705497861	Duodenum	WHYDuC2	PD70dduC1	0.739495916	Duodenum
WHYDuC6	PD70dduC1	0.520188331	Duodenum	WHYDuC6	PD70dduC1	0.691920892	Duodenum	WHYDuC6	PD70dduC1	0.714742178	Duodenum
WHYDuC7	PD70dduC1	0.610014238	Duodenum	WHYDuC7	PD70dduC1	0.670935037	Duodenum	WHYDuC7	PD70dduC1	0.736282894	Duodenum
WHYDuC8	PD70dduC1	0.684745941	Duodenum	WHYDuC8	PD70dduC1	0.756255134	Duodenum	WHYDuC8	PD70dduC1	0.809625339	Duodenum
MD70dduC1	PD70dduC2	0.99019796	Duodenum	MD70dduC1	PD70dduC2	0.654458609	Duodenum	MD70dduC1	PD70dduC2	0.973259559	Duodenum
MD70dduC2	PD70dduC2	0.990431383	Duodenum	MD70dduC2	PD70dduC2	0.636261298	Duodenum	MD70dduC2	PD70dduC2	0.938316969	Duodenum
MD70dduC3	PD70dduC2	0.990294975	Duodenum	MD70dduC3	PD70dduC2	0.605126197	Duodenum	MD70dduC3	PD70dduC2	0.91444611	Duodenum
MD70dduC4	PD70dduC2	0.992348401	Duodenum	MD70dduC4	PD70dduC2	0.654974425	Duodenum	MD70dduC4	PD70dduC2	0.96635144	Duodenum
MD70dduC5	PD70dduC2	0.98951462	Duodenum	MD70dduC5	PD70dduC2	0.644368115	Duodenum	MD70dduC5	PD70dduC2	0.95763164	Duodenum
MD70dduC7	PD70dduC2	0.990093827	Duodenum	MD70dduC7	PD70dduC2	0.65643107	Duodenum	MD70dduC7	PD70dduC2	0.979823633	Duodenum
PD70dduC1	PD70dduC2	0.220232142	Duodenum	PD70dduC1	PD70dduC2	0.575592121	Duodenum	PD70dduC1	PD70dduC2	0.890843065	Duodenum
PD70dduC3	PD70dduC2	0.183233089	Duodenum	PD70dduC3	PD70dduC2	0.48207952	Duodenum	PD70dduC3	PD70dduC2	0.86018947	Duodenum
