sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
MD14d_CeC_2	MD14d_CeC_3	0.607298604	D14	MD14d_CeC_2	MD14d_CeC_3	0.338218804	D14	MD14d_CeC_2	MD14d_CeC_3	0.147607971	D14
MD14d_CeC_4	MD14d_CeC_3	0.714087836	D14	MD14d_CeC_4	MD14d_CeC_3	0.388843015	D14	MD14d_CeC_4	MD14d_CeC_3	0.160393473	D14
MD14d_CeC_5	MD14d_CeC_3	0.60236226	D14	MD14d_CeC_5	MD14d_CeC_3	0.334381122	D14	MD14d_CeC_5	MD14d_CeC_3	0.146322003	D14
MD14d_CeC_6	MD14d_CeC_3	0.683651537	D14	MD14d_CeC_6	MD14d_CeC_3	0.393435775	D14	MD14d_CeC_6	MD14d_CeC_3	0.162091268	D14
MD14d_CeC_7	MD14d_CeC_3	0.708914108	D14	MD14d_CeC_7	MD14d_CeC_3	0.382445076	D14	MD14d_CeC_7	MD14d_CeC_3	0.160163525	D14
MD14d_CeC_8	MD14d_CeC_3	0.124742525	D14	MD14d_CeC_8	MD14d_CeC_3	0.006626153	D14	MD14d_CeC_8	MD14d_CeC_3	0.017751581	D14
MD14d_CeC_1	MD14d_CeC_4	0.465949335	D14	MD14d_CeC_1	MD14d_CeC_4	0.115493643	D14	MD14d_CeC_1	MD14d_CeC_4	0.042816406	D14
MD14d_CeC_2	MD14d_CeC_4	0.511561777	D14	MD14d_CeC_2	MD14d_CeC_4	0.140747674	D14	MD14d_CeC_2	MD14d_CeC_4	0.061969771	D14
MD14d_CeC_3	MD14d_CeC_4	0.714087836	D14	MD14d_CeC_3	MD14d_CeC_4	0.388843015	D14	MD14d_CeC_3	MD14d_CeC_4	0.160393473	D14
MD14d_CeC_5	MD14d_CeC_4	0.516218621	D14	MD14d_CeC_5	MD14d_CeC_4	0.144217033	D14	MD14d_CeC_5	MD14d_CeC_4	0.062680942	D14
MD14d_CeC_6	MD14d_CeC_4	0.466286627	D14	MD14d_CeC_6	MD14d_CeC_4	0.11314678	D14	MD14d_CeC_6	MD14d_CeC_4	0.041726626	D14
MD14d_CeC_7	MD14d_CeC_4	0.180403135	D14	MD14d_CeC_7	MD14d_CeC_4	0.017886909	D14	MD14d_CeC_7	MD14d_CeC_4	0.01571057	D14
MD14d_CeC_8	MD14d_CeC_4	0.713985003	D14	MD14d_CeC_8	MD14d_CeC_4	0.393882918	D14	MD14d_CeC_8	MD14d_CeC_4	0.161462483	D14
MD14d_CeC_1	MD14d_CeC_5	0.466132293	D14	MD14d_CeC_1	MD14d_CeC_5	0.15169765	D14	MD14d_CeC_1	MD14d_CeC_5	0.057499465	D14
MD14d_CeC_2	MD14d_CeC_5	0.205630834	D14	MD14d_CeC_2	MD14d_CeC_5	0.009164718	D14	MD14d_CeC_2	MD14d_CeC_5	0.019033884	D14
MD14d_CeC_3	MD14d_CeC_5	0.60236226	D14	MD14d_CeC_3	MD14d_CeC_5	0.334381122	D14	MD14d_CeC_3	MD14d_CeC_5	0.146322003	D14
MD14d_CeC_4	MD14d_CeC_5	0.516218621	D14	MD14d_CeC_4	MD14d_CeC_5	0.144217033	D14	MD14d_CeC_4	MD14d_CeC_5	0.062680942	D14
MD14d_CeC_6	MD14d_CeC_5	0.460828852	D14	MD14d_CeC_6	MD14d_CeC_5	0.14945646	D14	MD14d_CeC_6	MD14d_CeC_5	0.057943336	D14
MD14d_CeC_7	MD14d_CeC_5	0.501989917	D14	MD14d_CeC_7	MD14d_CeC_5	0.141534591	D14	MD14d_CeC_7	MD14d_CeC_5	0.060782799	D14
